landholder_id,x,y
6,176,155
6,176,156
6,176,157
6,176,158
6,177,145
6,177,146
6,177,147
6,177,148
6,177,149
6,177,150
6,177,151
6,177,152
6,177,153
6,177,154
6,177,155
6,177,156
6,177,157
6,177,158
6,178,145
6,178,146
6,178,147
6,178,148
6,178,149
6,178,150
6,178,151
6,178,152
6,178,153
6,178,154
6,178,155
6,178,156
6,178,157
6,178,158
6,179,145
6,179,146
6,179,147
6,179,148
6,179,149
6,179,150
6,179,151
6,179,152
6,179,153
6,179,154
6,179,155
6,179,156
6,179,157
6,179,158
6,180,145
6,180,146
6,180,147
6,180,148
6,180,149
6,180,150
6,180,151
6,180,152
6,180,153
6,180,154
6,180,155
6,180,156
6,180,157
6,180,158
6,181,145
6,181,146
6,181,147
6,181,148
6,181,149
6,181,150
6,181,151
6,181,152
6,181,153
6,181,154
6,181,155
6,181,156
6,181,157
6,181,158
6,182,145
6,182,146
6,182,147
6,182,148
6,182,149
6,182,150
6,182,151
6,182,152
6,182,153
6,182,154
6,182,155
6,182,156
6,182,157
6,182,158
7,181,182
7,181,183
7,181,184
7,181,185
7,181,186
7,181,187
7,181,188
7,181,189
7,181,190
7,181,191
7,182,182
7,182,183
7,182,184
7,182,185
7,182,186
7,182,187
7,182,188
7,182,189
7,182,190
7,182,191
7,183,182
7,183,183
7,183,184
7,183,185
7,183,186
7,183,187
7,183,188
7,183,189
7,183,190
7,183,191
7,184,182
7,184,183
7,184,184
7,184,185
7,184,186
7,184,187
7,184,188
7,184,189
7,184,190
7,184,191
7,185,182
7,185,183
7,185,184
7,185,185
7,185,186
7,185,187
7,185,188
7,185,189
7,185,190
7,185,191
7,186,182
7,186,183
7,186,184
7,186,185
7,186,186
7,186,187
7,186,188
7,186,189
7,186,190
7,186,191
7,187,182
7,187,183
7,187,184
7,187,185
7,187,186
7,187,187
7,187,188
7,187,189
7,187,190
7,187,191
7,188,182
7,188,183
7,188,184
7,188,185
7,188,186
7,188,187
7,188,188
7,188,189
7,188,190
7,188,191
7,189,182
7,189,183
7,189,184
7,189,185
7,189,186
7,189,187
7,189,188
7,189,189
7,189,190
7,189,191
7,190,182
7,190,183
7,190,184
7,190,185
7,190,186
7,190,187
7,190,188
7,190,189
7,190,190
7,190,191
8,82,222
8,82,223
8,82,224
8,82,225
8,82,226
8,82,227
8,82,228
8,82,229
8,82,230
8,82,231
8,82,232
8,83,222
8,83,223
8,83,224
8,83,225
8,83,226
8,83,227
8,83,228
8,83,229
8,83,230
8,83,231
8,83,232
8,84,222
8,84,223
8,84,224
8,84,225
8,84,226
8,84,227
8,84,228
8,84,229
8,84,230
8,84,231
8,84,232
8,85,222
8,85,223
8,85,224
8,85,225
8,85,226
8,85,227
8,85,228
8,85,229
8,85,230
8,85,231
8,85,232
8,86,222
8,86,223
8,86,224
8,86,225
8,86,226
8,86,227
8,86,228
8,86,229
8,86,230
8,86,231
8,86,232
8,87,222
8,87,223
8,87,224
8,87,225
8,87,226
8,87,227
8,87,228
8,87,229
8,87,230
8,87,231
8,87,232
8,88,222
8,88,223
8,88,224
8,88,225
8,88,226
8,88,227
8,88,228
8,88,229
8,88,230
8,88,231
8,88,232
8,89,222
8,89,223
8,89,224
8,89,225
8,89,226
8,89,227
8,89,228
8,89,229
8,89,230
8,89,231
8,89,232
8,90,222
8,90,223
8,90,224
8,90,225
8,90,226
8,90,227
8,90,228
8,90,229
8,90,230
8,90,231
8,90,232
8,91,222
8,91,223
8,91,224
8,91,225
8,91,226
8,91,227
8,91,228
8,91,229
8,91,230
8,91,231
8,91,232
8,92,222
8,92,223
8,92,224
8,92,225
8,92,226
8,92,227
8,92,228
8,92,229
8,92,230
8,92,231
8,92,232
13,63,143
13,63,144
13,63,145
13,63,146
13,63,147
13,63,148
13,63,149
13,63,150
13,63,151
13,63,152
13,63,153
13,63,154
13,64,143
13,64,144
13,64,145
13,64,146
13,64,147
13,64,148
13,64,149
13,64,150
13,64,151
13,64,152
13,64,153
13,64,154
13,65,143
13,65,144
13,65,145
13,65,146
13,65,147
13,65,148
13,65,149
13,65,150
13,65,151
13,65,152
13,65,153
13,65,154
13,66,143
13,66,144
13,66,145
13,66,146
13,66,147
13,66,148
13,66,149
13,66,150
13,66,151
13,66,152
13,66,153
13,66,154
13,67,143
13,67,144
13,67,145
13,67,146
13,67,147
13,67,148
13,67,149
13,67,150
13,67,151
13,67,152
13,67,153
13,67,154
13,68,143
13,68,144
13,68,145
13,68,146
13,68,147
13,68,148
13,68,149
13,68,150
13,68,151
13,68,152
13,68,153
13,68,154
13,69,143
13,69,144
13,69,145
13,69,146
13,69,147
13,69,148
13,69,149
13,69,150
13,69,151
13,69,152
13,69,153
13,69,154
13,70,143
13,70,144
13,70,145
13,70,146
13,70,147
13,70,148
13,70,149
13,70,150
13,70,151
