a_id,x,y,species
1530,244,278,carnivore
1500,286,38,herbivore
1444,80,96,herbivore
1689,176,264,livestock
1522,195,244,carnivore
1432,270,19,herbivore
1453,222,16,herbivore
1602,267,46,livestock
1655,268,223,livestock
1592,254,50,livestock
1733,182,136,livestock
1489,66,57,herbivore
1611,210,213,livestock
1741,102,166,livestock
1773,149,168,livestock
1412,212,60,herbivore
1699,73,153,livestock
1658,265,225,livestock
1517,203,25,carnivore
1760,182,251,livestock
1708,155,41,livestock
1491,246,223,herbivore
1509,146,163,carnivore
1456,202,27,herbivore
1346,134,13,herbivore
1572,157,134,livestock
1817,191,99,livestock
1780,150,173,livestock
1648,84,230,livestock
1801,84,212,livestock
1392,93,171,herbivore
2001,268,224,livestock
1809,199,97,livestock
1410,43,129,herbivore
1439,9,54,herbivore
1628,178,149,livestock
1778,155,173,livestock
1789,81,211,livestock
1601,262,60,livestock
1430,287,219,herbivore
1718,173,127,livestock
1902,101,25,herbivore
1487,295,82,herbivore
1399,279,50,herbivore
1533,47,92,carnivore
1368,194,123,herbivore
1318,156,77,herbivore
1579,150,144,livestock
1451,7,261,herbivore
1774,151,171,livestock
1375,225,119,herbivore
1549,36,17,carnivore
1561,101,135,livestock
1480,105,120,herbivore
1687,176,270,livestock
1608,211,210,livestock
1711,157,35,livestock
2054,185,90,livestock
1402,241,176,herbivore
